model,silhouette,davies_bouldin,calinski_harabasz,n_clusters,noise_points,params,rank_silhouette,rank_calinski,rank_davies,rank_sum,model_name,largest_cluster_ratio,balance_penalty,final_score
DBSCAN,,,,0,15,"{""eps"": 0.9, ""min_samples"": 8}",,,,0.0,,,0.0,0.0
Hierarchical,0.2456205914143604,0.8657925264382804,5.124948288634165,5,0,"{""n_clusters"": 5, ""linkage"": ""ward""}",1.0,1.0,1.0,3.0,Hierarchical,0.3333333333333333,0.0,3.0
KMeans,0.1641393007446278,0.9514048170121446,4.066004471932427,5,0,"{""n_clusters"": 5}",2.0,2.0,2.0,6.0,,,0.0,6.0
GMM,0.1641393007446278,0.9514048170121446,4.066004471932427,5,0,"{""n_components"": 5}",2.0,2.0,2.0,6.0,,,0.0,6.0
